comparator,delta_observed,replicates,seed,ci_low,ci_high,excludes_zero
kidney (whole),0.0454,500,20260920,-0.5853,0.7696,False
kidney (whole),0.0454,500,20260921,-0.5881,0.8449,False
kidney (whole),0.0454,500,20260922,-0.5865,0.8011,False
kidney (whole),0.0454,2000,20260920,-0.5899,0.8343,False
kidney (whole),0.0454,2000,20260921,-0.6225,0.8149,False
kidney (whole),0.0454,2000,20260922,-0.6331,0.8037,False
kidney (whole),0.0454,5000,20260920,-0.6059,0.8439,False
kidney (whole),0.0454,5000,20260921,-0.6191,0.8075,False
kidney (whole),0.0454,5000,20260922,-0.6203,0.7998,False
hepatocyte,0.2267,500,20260920,-0.0963,0.5145,False
hepatocyte,0.2267,500,20260921,-0.0991,0.5754,False
hepatocyte,0.2267,500,20260922,-0.0823,0.483,False
hepatocyte,0.2267,2000,20260920,-0.112,0.5438,False
hepatocyte,0.2267,2000,20260921,-0.1013,0.5573,False
hepatocyte,0.2267,2000,20260922,-0.0994,0.512,False
hepatocyte,0.2267,5000,20260920,-0.1117,0.5471,False
hepatocyte,0.2267,5000,20260921,-0.11,0.5432,False
hepatocyte,0.2267,5000,20260922,-0.0994,0.5354,False
liver,0.1893,500,20260920,-0.6383,1.2969,False
liver,0.1893,500,20260921,-0.5776,1.1424,False
liver,0.1893,500,20260922,-0.6373,0.9715,False
liver,0.1893,2000,20260920,-0.6436,1.1519,False
liver,0.1893,2000,20260921,-0.6393,1.1044,False
liver,0.1893,2000,20260922,-0.6779,1.0394,False
liver,0.1893,5000,20260920,-0.65,1.1124,False
liver,0.1893,5000,20260921,-0.6895,1.0951,False
liver,0.1893,5000,20260922,-0.6545,1.07,False
lung,0.0931,500,20260920,-0.5491,0.4949,False
lung,0.0931,500,20260921,-0.4814,0.5268,False
lung,0.0931,500,20260922,-0.4938,0.524,False
lung,0.0931,2000,20260920,-0.5152,0.5228,False
lung,0.0931,2000,20260921,-0.5083,0.5297,False
lung,0.0931,2000,20260922,-0.5073,0.5174,False
lung,0.0931,5000,20260920,-0.5027,0.5109,False
lung,0.0931,5000,20260921,-0.5092,0.528,False
lung,0.0931,5000,20260922,-0.5085,0.5182,False
brain,-0.07,500,20260920,-0.713,0.4042,False
brain,-0.07,500,20260921,-0.705,0.4784,False
brain,-0.07,500,20260922,-0.6808,0.3532,False
brain,-0.07,2000,20260920,-0.703,0.4379,False
brain,-0.07,2000,20260921,-0.6872,0.4721,False
brain,-0.07,2000,20260922,-0.6866,0.4508,False
brain,-0.07,5000,20260920,-0.7019,0.4375,False
brain,-0.07,5000,20260921,-0.7063,0.4645,False
brain,-0.07,5000,20260922,-0.6945,0.435,False
stomach,0.4222,500,20260920,-0.2691,0.9595,False
stomach,0.4222,500,20260921,-0.2262,1.0842,False
stomach,0.4222,500,20260922,-0.2087,0.9693,False
stomach,0.4222,2000,20260920,-0.2486,0.9876,False
stomach,0.4222,2000,20260921,-0.2314,0.9759,False
stomach,0.4222,2000,20260922,-0.2461,0.9444,False
stomach,0.4222,5000,20260920,-0.2486,0.9644,False
stomach,0.4222,5000,20260921,-0.2473,0.9897,False
stomach,0.4222,5000,20260922,-0.2324,0.9662,False
