cell_type,top_n,in_peak,pct,background_pct,odds_ratio,p
podocyte,25,14,56.0,9.3,12.361,9.76852963667875e-09
podocyte,50,25,50.0,8.9,10.271,2.72300820915759e-13
podocyte,100,46,46.0,8.0,9.846,3.5500359193012194e-22
podocyte,200,74,37.0,6.8,8.052,4.486694172981478e-29
proximal tubule,25,8,32.0,3.9,11.752,4.268398629652175e-06
proximal tubule,50,15,30.0,3.5,11.721,4.4241842284085757e-10
proximal tubule,100,26,26.0,3.0,11.282,1.9026972329625597e-15
proximal tubule,200,39,19.5,2.4,9.684,6.750057400394155e-19
kidney epithelial,25,8,32.0,5.2,8.542,3.4964763610258846e-05
kidney epithelial,50,14,28.0,5.0,7.435,2.0751135779109908e-07
kidney epithelial,100,30,30.0,4.2,9.707,5.559836714257757e-16
kidney epithelial,200,53,26.5,3.1,11.13,1.3494010297877643e-26
renal cortical epithelial,25,14,56.0,9.3,12.438,9.105893813625744e-09
renal cortical epithelial,50,27,54.0,8.7,12.301,1.8739022669510166e-15
renal cortical epithelial,100,54,54.0,7.5,14.544,6.378779201828918e-31
renal cortical epithelial,200,83,41.5,6.2,10.701,5.465550755996408e-38
kidney tubule,25,11,44.0,4.7,15.767,1.1922948953470499e-08
kidney tubule,50,19,38.0,4.4,13.372,7.338959820859721e-13
kidney tubule,100,31,31.0,3.8,11.238,8.32989533663628e-18
kidney tubule,200,51,25.5,2.9,11.439,4.552050125978404e-26
whole kidney,25,8,32.0,8.4,5.106,0.0008584740092568562
whole kidney,50,14,28.0,8.2,4.336,5.116989831165457e-05
whole kidney,100,32,32.0,7.5,5.83,7.313980470520227e-12
whole kidney,200,62,31.0,6.2,6.845,1.4562053797989802e-22
