accession,directory,biosample_term,locus,raw_intervals,merged_peaks,merged_bp
ENCFF008MHP,comparison_tissue_peaks,heart_left_ventricle,APOL1-MYH9,12,12,2774
ENCFF012DFN,comparison_tissue_peaks,lung,APOL1-MYH9,51,49,14454
ENCFF016LYI,comparison_tissue_peaks,stomach,APOL1-MYH9,61,56,17970
ENCFF019PKU,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,90,85,26159
ENCFF085ZBB,comparison_tissue_peaks,liver,APOL1-MYH9,60,60,17717
ENCFF140XGY,comparison_tissue_peaks,thyroid_gland,APOL1-MYH9,73,70,17089
ENCFF214HJG,comparison_tissue_peaks,kidney,APOL1-MYH9,67,61,21168
ENCFF224XDL,comparison_tissue_peaks,heart_left_ventricle,APOL1-MYH9,32,32,8426
ENCFF325DZQ,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,80,74,24834
ENCFF350FBW,comparison_tissue_peaks,kidney,APOL1-MYH9,58,53,18873
ENCFF362PZG,comparison_tissue_peaks,lung,APOL1-MYH9,62,59,15509
ENCFF373BQL,comparison_tissue_peaks,heart_left_ventricle,APOL1-MYH9,38,38,10018
ENCFF402XYJ,comparison_tissue_peaks,thyroid_gland,APOL1-MYH9,21,19,5671
ENCFF468IOL,comparison_tissue_peaks,heart_left_ventricle,APOL1-MYH9,40,40,11708
ENCFF473YKR,comparison_tissue_peaks,kidney,APOL1-MYH9,10,10,2834
ENCFF539MXV,comparison_tissue_peaks,thyroid_gland,APOL1-MYH9,73,70,17699
ENCFF549ZJO,comparison_tissue_peaks,spleen,APOL1-MYH9,13,13,3389
ENCFF554CKH,comparison_tissue_peaks,kidney,APOL1-MYH9,18,17,5049
ENCFF593KGC,comparison_tissue_peaks,thyroid_gland,APOL1-MYH9,49,47,13205
ENCFF618RWK,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,57,54,17063
ENCFF656NFM,comparison_tissue_peaks,liver,APOL1-MYH9,67,66,20312
ENCFF667IEN,comparison_tissue_peaks,liver,APOL1-MYH9,19,18,5759
ENCFF727KMJ,comparison_tissue_peaks,lung,APOL1-MYH9,63,61,18248
ENCFF736VGS,comparison_tissue_peaks,stomach,APOL1-MYH9,53,48,15897
ENCFF755OMA,comparison_tissue_peaks,liver,APOL1-MYH9,6,6,1989
ENCFF766LVG,comparison_tissue_peaks,stomach,APOL1-MYH9,58,54,15413
ENCFF776FOR,comparison_tissue_peaks,stomach,APOL1-MYH9,84,79,22892
ENCFF833RZL,comparison_tissue_peaks,spleen,APOL1-MYH9,13,13,3428
ENCFF882DHT,comparison_tissue_peaks,spleen,APOL1-MYH9,8,8,2113
ENCFF971ABV,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,31,28,9279
ENCFF977RJR,comparison_tissue_peaks,lung,APOL1-MYH9,86,84,21589
ENCFF146AYH,control_locus_peaks,kidney,APOL1-MYH9,42,36,13182
ENCFF214HJG,control_locus_peaks,kidney,APOL1-MYH9,67,61,21168
ENCFF350FBW,control_locus_peaks,kidney,APOL1-MYH9,58,53,18873
ENCFF473YKR,control_locus_peaks,kidney,APOL1-MYH9,10,10,2834
ENCFF554CKH,control_locus_peaks,kidney,APOL1-MYH9,18,17,5049
ENCFF851SWR,control_locus_peaks,kidney,APOL1-MYH9,73,72,18548
ENCFF922WKR,control_locus_peaks,kidney,APOL1-MYH9,31,28,8524
ENCFF948WNJ,control_locus_peaks,kidney,APOL1-MYH9,51,43,13987
ENCFF019PKU,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,APOL1-MYH9,90,85,26159
ENCFF214HJG,control_locus_peaks_matched,kidney,APOL1-MYH9,67,61,21168
ENCFF325DZQ,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,APOL1-MYH9,80,74,24834
ENCFF350FBW,control_locus_peaks_matched,kidney,APOL1-MYH9,58,53,18873
ENCFF473YKR,control_locus_peaks_matched,kidney,APOL1-MYH9,10,10,2834
ENCFF554CKH,control_locus_peaks_matched,kidney,APOL1-MYH9,18,17,5049
ENCFF618RWK,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,APOL1-MYH9,57,54,17063
ENCFF971ABV,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,APOL1-MYH9,31,28,9279
ENCFF019PKU,encode_celltype_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,90,85,26159
ENCFF150DKY,encode_celltype_peaks,kidney_epithelial,APOL1-MYH9,50,49,13048
ENCFF161KYQ,encode_celltype_peaks,kidney_epithelial,APOL1-MYH9,50,48,12513
ENCFF214HJG,encode_celltype_peaks,kidney,APOL1-MYH9,67,61,21168
ENCFF245EBA,encode_celltype_peaks,proximal_tubule,APOL1-MYH9,49,44,11516
ENCFF274THN,encode_celltype_peaks,renal_cortical_epithelial,APOL1-MYH9,117,112,29189
ENCFF300VZB,encode_celltype_peaks,proximal_tubule,APOL1-MYH9,38,35,9378
ENCFF325DZQ,encode_celltype_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,80,74,24834
ENCFF350FBW,encode_celltype_peaks,kidney,APOL1-MYH9,58,53,18873
ENCFF357MXR,encode_celltype_peaks,kidney_tubule,APOL1-MYH9,29,27,7225
ENCFF365JZW,encode_celltype_peaks,kidney_tubule,APOL1-MYH9,62,58,18581
ENCFF473YKR,encode_celltype_peaks,kidney,APOL1-MYH9,10,10,2834
ENCFF474KKL,encode_celltype_peaks,kidney_epithelial,APOL1-MYH9,56,55,14513
ENCFF490YSA,encode_celltype_peaks,renal_cortical_epithelial,APOL1-MYH9,73,71,18046
ENCFF498YVF,encode_celltype_peaks,proximal_tubule,APOL1-MYH9,39,34,9214
ENCFF499RKV,encode_celltype_peaks,kidney_tubule,APOL1-MYH9,54,50,16267
ENCFF525TFN,encode_celltype_peaks,kidney_epithelial,APOL1-MYH9,55,53,13811
ENCFF554CKH,encode_celltype_peaks,kidney,APOL1-MYH9,18,17,5049
ENCFF584PCS,encode_celltype_peaks,kidney_tubule,APOL1-MYH9,25,24,6332
ENCFF618RWK,encode_celltype_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,57,54,17063
ENCFF656ZEF,encode_celltype_peaks,renal_cortical_epithelial,APOL1-MYH9,96,92,23759
ENCFF747LXY,encode_celltype_peaks,proximal_tubule,APOL1-MYH9,42,39,10575
ENCFF971ABV,encode_celltype_peaks,glomerular_visceral_epithelial_cell,APOL1-MYH9,31,28,9279
ENCFF997ULU,encode_celltype_peaks,renal_cortical_epithelial,APOL1-MYH9,60,58,15085
ENCFF146AYH,encode_peaks,kidney,APOL1-MYH9,42,36,13182
ENCFF214HJG,encode_peaks,kidney,APOL1-MYH9,67,61,21168
ENCFF350FBW,encode_peaks,kidney,APOL1-MYH9,58,53,18873
ENCFF473YKR,encode_peaks,kidney,APOL1-MYH9,10,10,2834
ENCFF554CKH,encode_peaks,kidney,APOL1-MYH9,18,17,5049
ENCFF851SWR,encode_peaks,kidney,APOL1-MYH9,73,72,18548
ENCFF922WKR,encode_peaks,kidney,APOL1-MYH9,31,28,8524
ENCFF948WNJ,encode_peaks,kidney,APOL1-MYH9,51,43,13987
ENCFF012DFN,comparison_tissue_peaks,lung,beta-globin,1,1,218
ENCFF016LYI,comparison_tissue_peaks,stomach,beta-globin,2,2,530
ENCFF019PKU,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,beta-globin,12,12,3254
ENCFF085ZBB,comparison_tissue_peaks,liver,beta-globin,55,51,15032
ENCFF140XGY,comparison_tissue_peaks,thyroid_gland,beta-globin,2,2,426
ENCFF214HJG,comparison_tissue_peaks,kidney,beta-globin,8,8,1955
ENCFF224XDL,comparison_tissue_peaks,heart_left_ventricle,beta-globin,1,1,217
ENCFF325DZQ,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,beta-globin,15,14,4275
ENCFF350FBW,comparison_tissue_peaks,kidney,beta-globin,6,6,1486
ENCFF362PZG,comparison_tissue_peaks,lung,beta-globin,7,7,1501
ENCFF373BQL,comparison_tissue_peaks,heart_left_ventricle,beta-globin,1,1,219
ENCFF468IOL,comparison_tissue_peaks,heart_left_ventricle,beta-globin,2,2,551
ENCFF539MXV,comparison_tissue_peaks,thyroid_gland,beta-globin,2,2,450
ENCFF618RWK,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,beta-globin,14,13,4011
ENCFF656NFM,comparison_tissue_peaks,liver,beta-globin,64,59,17411
ENCFF667IEN,comparison_tissue_peaks,liver,beta-globin,9,9,2339
ENCFF727KMJ,comparison_tissue_peaks,lung,beta-globin,3,3,708
ENCFF736VGS,comparison_tissue_peaks,stomach,beta-globin,3,3,695
ENCFF755OMA,comparison_tissue_peaks,liver,beta-globin,4,4,1169
ENCFF766LVG,comparison_tissue_peaks,stomach,beta-globin,4,4,862
ENCFF776FOR,comparison_tissue_peaks,stomach,beta-globin,14,14,3890
ENCFF971ABV,comparison_tissue_peaks,glomerular_visceral_epithelial_cell,beta-globin,7,7,2026
ENCFF977RJR,comparison_tissue_peaks,lung,beta-globin,8,8,1966
ENCFF146AYH,control_locus_peaks,kidney,beta-globin,2,2,525
ENCFF214HJG,control_locus_peaks,kidney,beta-globin,8,8,1955
ENCFF350FBW,control_locus_peaks,kidney,beta-globin,6,6,1486
ENCFF851SWR,control_locus_peaks,kidney,beta-globin,3,3,602
ENCFF922WKR,control_locus_peaks,kidney,beta-globin,4,4,895
ENCFF948WNJ,control_locus_peaks,kidney,beta-globin,2,2,445
ENCFF019PKU,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,beta-globin,12,12,3254
ENCFF214HJG,control_locus_peaks_matched,kidney,beta-globin,8,8,1955
ENCFF325DZQ,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,beta-globin,15,14,4275
ENCFF350FBW,control_locus_peaks_matched,kidney,beta-globin,6,6,1486
ENCFF618RWK,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,beta-globin,14,13,4011
ENCFF971ABV,control_locus_peaks_matched,glomerular_visceral_epithelial_cell,beta-globin,7,7,2026
ENCFF019PKU,encode_celltype_peaks,glomerular_visceral_epithelial_cell,beta-globin,12,12,3254
ENCFF150DKY,encode_celltype_peaks,kidney_epithelial,beta-globin,8,8,2121
ENCFF161KYQ,encode_celltype_peaks,kidney_epithelial,beta-globin,8,8,1954
ENCFF214HJG,encode_celltype_peaks,kidney,beta-globin,8,8,1955
ENCFF245EBA,encode_celltype_peaks,proximal_tubule,beta-globin,8,8,1789
ENCFF274THN,encode_celltype_peaks,renal_cortical_epithelial,beta-globin,14,13,3347
ENCFF300VZB,encode_celltype_peaks,proximal_tubule,beta-globin,6,6,1352
ENCFF325DZQ,encode_celltype_peaks,glomerular_visceral_epithelial_cell,beta-globin,15,14,4275
ENCFF350FBW,encode_celltype_peaks,kidney,beta-globin,6,6,1486
ENCFF357MXR,encode_celltype_peaks,kidney_tubule,beta-globin,9,9,2151
ENCFF365JZW,encode_celltype_peaks,kidney_tubule,beta-globin,14,14,3666
ENCFF474KKL,encode_celltype_peaks,kidney_epithelial,beta-globin,8,8,2121
ENCFF490YSA,encode_celltype_peaks,renal_cortical_epithelial,beta-globin,9,9,2162
ENCFF498YVF,encode_celltype_peaks,proximal_tubule,beta-globin,5,5,1190
ENCFF499RKV,encode_celltype_peaks,kidney_tubule,beta-globin,10,10,2789
ENCFF525TFN,encode_celltype_peaks,kidney_epithelial,beta-globin,9,9,2229
ENCFF584PCS,encode_celltype_peaks,kidney_tubule,beta-globin,8,8,1943
ENCFF618RWK,encode_celltype_peaks,glomerular_visceral_epithelial_cell,beta-globin,14,13,4011
ENCFF656ZEF,encode_celltype_peaks,renal_cortical_epithelial,beta-globin,13,12,3089
ENCFF747LXY,encode_celltype_peaks,proximal_tubule,beta-globin,6,6,1352
ENCFF971ABV,encode_celltype_peaks,glomerular_visceral_epithelial_cell,beta-globin,7,7,2026
ENCFF997ULU,encode_celltype_peaks,renal_cortical_epithelial,beta-globin,8,8,1960
ENCFF146AYH,encode_peaks,kidney,beta-globin,2,2,525
ENCFF214HJG,encode_peaks,kidney,beta-globin,8,8,1955
ENCFF350FBW,encode_peaks,kidney,beta-globin,6,6,1486
ENCFF851SWR,encode_peaks,kidney,beta-globin,3,3,602
ENCFF922WKR,encode_peaks,kidney,beta-globin,4,4,895
ENCFF948WNJ,encode_peaks,kidney,beta-globin,2,2,445
