endpoint,ranked_by,depth,a_top_in,b_top_out,c_bg_in,d_bg_out,eligible_n,odds_ratio,ci_low,ci_high
pooled,kidney (podocyte),25,17,8,260,1645,1930,13.413,5.42,36.293
pooled,kidney (podocyte),50,29,21,248,1632,1930,9.07,4.91,17.018
pooled,kidney (podocyte),100,56,44,221,1609,1930,9.248,5.961,14.426
pooled,kidney (podocyte),200,100,100,177,1553,1930,8.757,6.296,12.197
pooled,kidney (whole),25,9,16,268,1637,1930,3.433,1.323,8.349
pooled,kidney (whole),50,17,33,260,1620,1930,3.207,1.65,6.026
pooled,kidney (whole),100,30,70,247,1583,1930,2.745,1.691,4.368
pooled,kidney (whole),200,47,153,230,1500,1930,2.003,1.372,2.884
pooled,hepatocyte,25,14,11,263,1642,1930,7.932,3.305,19.532
pooled,hepatocyte,50,25,25,252,1628,1930,6.45,3.494,11.909
pooled,hepatocyte,100,51,49,226,1604,1930,7.374,4.759,11.44
pooled,hepatocyte,200,79,121,198,1532,1930,5.045,3.612,7.029
pooled,liver,25,8,17,269,1636,1930,2.86,1.057,7.075
pooled,liver,50,12,38,265,1615,1930,1.924,0.903,3.82
pooled,liver,100,26,74,251,1579,1930,2.209,1.329,3.575
pooled,liver,200,47,153,230,1500,1930,2.003,1.372,2.884
pooled,lung,25,9,16,268,1637,1930,3.433,1.323,8.349
pooled,lung,50,19,31,258,1622,1930,3.849,2.022,7.154
pooled,lung,100,43,57,234,1596,1930,5.139,3.294,7.971
pooled,lung,200,83,117,194,1536,1930,5.609,4.023,7.806
pooled,brain,25,7,18,270,1635,1930,2.354,0.823,5.975
pooled,brain,50,15,35,262,1618,1930,2.645,1.323,5.052
pooled,brain,100,38,62,239,1591,1930,4.076,2.586,6.357
pooled,brain,200,68,132,209,1521,1930,3.745,2.658,5.248
pooled,stomach,25,10,15,267,1638,1930,4.085,1.623,9.838
pooled,stomach,50,19,31,258,1622,1930,3.849,2.022,7.154
pooled,stomach,100,39,61,238,1592,1930,4.272,2.717,6.654
pooled,stomach,200,76,124,201,1529,1930,4.657,3.327,6.495
kidney-specific,kidney (podocyte),25,5,20,79,1826,1930,5.767,1.648,16.386
kidney-specific,kidney (podocyte),50,10,40,74,1806,1930,6.089,2.612,13.004
kidney-specific,kidney (podocyte),100,18,82,66,1764,1930,5.856,3.124,10.545
kidney-specific,kidney (podocyte),200,26,174,58,1672,1930,4.302,2.531,7.152
kidney-specific,kidney (whole),25,0,25,84,1821,1930,0.0,0.0,3.52
kidney-specific,kidney (whole),50,0,50,84,1796,1930,0.0,0.0,1.674
kidney-specific,kidney (whole),100,4,96,80,1750,1930,0.912,0.237,2.505
kidney-specific,kidney (whole),200,8,192,76,1654,1930,0.907,0.372,1.918
kidney-specific,hepatocyte,25,2,23,82,1823,1930,1.932,0.217,8.044
kidney-specific,hepatocyte,50,6,44,78,1802,1930,3.147,1.064,7.723
kidney-specific,hepatocyte,100,10,90,74,1756,1930,2.635,1.173,5.349
kidney-specific,hepatocyte,200,15,185,69,1661,1930,1.951,1.015,3.532
kidney-specific,liver,25,0,25,84,1821,1930,0.0,0.0,3.52
kidney-specific,liver,50,1,49,83,1797,1930,0.442,0.011,2.651
kidney-specific,liver,100,2,98,82,1748,1930,0.435,0.051,1.667
kidney-specific,liver,200,7,193,77,1653,1930,0.779,0.299,1.716
kidney-specific,lung,25,0,25,84,1821,1930,0.0,0.0,3.52
kidney-specific,lung,50,3,47,81,1799,1930,1.417,0.276,4.554
kidney-specific,lung,100,8,92,76,1754,1930,2.006,0.811,4.326
kidney-specific,lung,200,18,182,66,1664,1930,2.492,1.361,4.361
kidney-specific,brain,25,0,25,84,1821,1930,0.0,0.0,3.52
kidney-specific,brain,50,3,47,81,1799,1930,1.417,0.276,4.554
kidney-specific,brain,100,8,92,76,1754,1930,2.006,0.811,4.326
kidney-specific,brain,200,15,185,69,1661,1930,1.951,1.015,3.532
kidney-specific,stomach,25,0,25,84,1821,1930,0.0,0.0,3.52
kidney-specific,stomach,50,1,49,83,1797,1930,0.442,0.011,2.651
kidney-specific,stomach,100,3,97,81,1749,1930,0.668,0.133,2.083
kidney-specific,stomach,200,12,188,72,1658,1930,1.47,0.712,2.791
shared,kidney (podocyte),25,12,13,181,1724,1930,8.772,3.6,21.202
shared,kidney (podocyte),50,19,31,174,1706,1930,5.999,3.132,11.227
shared,kidney (podocyte),100,38,62,155,1675,1930,6.611,4.152,10.431
shared,kidney (podocyte),200,74,126,119,1611,1930,7.936,5.548,11.33
shared,kidney (whole),25,9,16,184,1721,1930,5.253,2.016,12.835
shared,kidney (whole),50,17,33,176,1704,1930,4.98,2.547,9.421
shared,kidney (whole),100,26,74,167,1663,1930,3.495,2.085,5.711
shared,kidney (whole),200,39,161,154,1576,1930,2.477,1.636,3.688
shared,hepatocyte,25,12,13,181,1724,1930,8.772,3.6,21.202
shared,hepatocyte,50,19,31,174,1706,1930,5.999,3.132,11.227
shared,hepatocyte,100,41,59,152,1678,1930,7.656,4.838,12.038
shared,hepatocyte,200,64,136,129,1601,1930,5.832,4.049,8.36
