comparator,replicates,seed,ci_low,ci_high,excludes_zero
kidney (whole),500,20260921,-0.5881,0.8449,False
hepatocyte,500,20260921,-0.0991,0.5754,False
liver,500,20260921,-0.5776,1.1424,False
lung,500,20260921,-0.4814,0.5268,False
brain,500,20260921,-0.705,0.4784,False
stomach,500,20260921,-0.2262,1.0842,False
kidney (whole),500,20260922,-0.5865,0.8011,False
hepatocyte,500,20260922,-0.0823,0.483,False
liver,500,20260922,-0.6373,0.9715,False
lung,500,20260922,-0.4938,0.524,False
brain,500,20260922,-0.6808,0.3532,False
stomach,500,20260922,-0.2087,0.9693,False
kidney (whole),500,20260923,-0.6182,0.7883,False
hepatocyte,500,20260923,-0.0936,0.5168,False
liver,500,20260923,-0.6562,1.0394,False
lung,500,20260923,-0.4921,0.5861,False
brain,500,20260923,-0.697,0.4522,False
stomach,500,20260923,-0.2253,0.9218,False
kidney (whole),2000,20260921,-0.6225,0.8149,False
hepatocyte,2000,20260921,-0.1013,0.5573,False
liver,2000,20260921,-0.6393,1.1044,False
lung,2000,20260921,-0.5083,0.5297,False
brain,2000,20260921,-0.6872,0.4721,False
stomach,2000,20260921,-0.2314,0.9759,False
kidney (whole),2000,20260922,-0.6331,0.8037,False
hepatocyte,2000,20260922,-0.0994,0.512,False
liver,2000,20260922,-0.6779,1.0394,False
lung,2000,20260922,-0.5073,0.5174,False
brain,2000,20260922,-0.6866,0.4508,False
stomach,2000,20260922,-0.2461,0.9444,False
kidney (whole),2000,20260923,-0.6298,0.7921,False
hepatocyte,2000,20260923,-0.0963,0.5381,False
liver,2000,20260923,-0.6753,1.0802,False
lung,2000,20260923,-0.4916,0.5556,False
brain,2000,20260923,-0.7012,0.4569,False
stomach,2000,20260923,-0.2275,0.9553,False
kidney (whole),5000,20260921,-0.6191,0.8075,False
hepatocyte,5000,20260921,-0.11,0.5432,False
liver,5000,20260921,-0.6895,1.0951,False
lung,5000,20260921,-0.5092,0.528,False
brain,5000,20260921,-0.7063,0.4645,False
stomach,5000,20260921,-0.2473,0.9897,False
kidney (whole),5000,20260922,-0.6203,0.7998,False
hepatocyte,5000,20260922,-0.0994,0.5354,False
liver,5000,20260922,-0.6545,1.07,False
lung,5000,20260922,-0.5085,0.5182,False
brain,5000,20260922,-0.6945,0.435,False
stomach,5000,20260922,-0.2324,0.9662,False
kidney (whole),5000,20260923,-0.6269,0.8368,False
hepatocyte,5000,20260923,-0.0966,0.5364,False
liver,5000,20260923,-0.6731,1.0674,False
lung,5000,20260923,-0.5118,0.5282,False
brain,5000,20260923,-0.7066,0.4365,False
stomach,5000,20260923,-0.2485,0.9766,False
