partition,ranked_by,in_top,top_n,bg_hits,bg_n,odds_ratio,ci_low,ci_high,p
kidney-specific,kidney (podocyte),26,200,58,1721,4.279,2.517,7.114,9.505594553428031e-08
kidney-specific,kidney (whole),8,200,76,1721,0.902,0.37,1.907,0.6621751363820632
kidney-specific,hepatocyte,15,200,69,1721,1.94,1.01,3.512,0.023377291347258158
kidney-specific,liver,8,200,76,1721,0.902,0.37,1.907,0.6621751363820632
kidney-specific,lung,18,200,66,1721,2.478,1.354,4.338,0.0017787600782419408
kidney-specific,brain,15,200,69,1721,1.94,1.01,3.512,0.023377291347258158
kidney-specific,stomach,12,200,72,1721,1.462,0.708,2.776,0.15656441030032212
shared,kidney (podocyte),75,200,118,1721,8.135,5.689,11.613,1.267233285607841e-29
shared,kidney (whole),39,200,154,1721,2.463,1.627,3.667,1.3342140132361532e-05
shared,hepatocyte,64,200,129,1721,5.799,4.026,8.313,2.2030678938921766e-20
shared,liver,41,200,152,1721,2.66,1.769,3.939,1.9220506505241708e-06
shared,lung,65,200,128,1721,5.983,4.158,8.571,3.70993855450411e-21
shared,brain,53,200,140,1721,4.067,2.783,5.892,8.990095597562764e-13
shared,stomach,64,200,129,1721,5.799,4.026,8.313,2.2030678938921766e-20
other-tissue-specific,kidney (podocyte),12,200,70,1721,1.505,0.729,2.864,0.137797504382556
other-tissue-specific,kidney (whole),17,200,65,1721,2.365,1.271,4.19,0.003462672198090765
other-tissue-specific,hepatocyte,21,200,61,1721,3.19,1.801,5.462,4.893799599638283e-05
other-tissue-specific,liver,17,200,65,1721,2.365,1.271,4.19,0.003462672198090765
other-tissue-specific,lung,20,200,62,1721,2.971,1.66,5.123,0.00015727143343878557
other-tissue-specific,brain,17,200,65,1721,2.365,1.271,4.19,0.003462672198090765
other-tissue-specific,stomach,22,200,60,1721,3.418,1.948,5.815,1.425637919038129e-05
