ranked_by,is_kidney,top_n,in_peak,pct,odds_ratio,p
kidney,True,25,8,32.0,4.059,0.0031829308886596923
kidney,True,50,15,30.0,3.792,0.00012013781321231652
kidney,True,100,25,25.0,3.039,2.1815716894499344e-05
kidney,True,200,39,19.5,2.269,5.9057266288365084e-05
lung,False,25,8,32.0,4.059,0.0031829308886596923
lung,False,50,16,32.0,4.188,2.888317852930935e-05
lung,False,100,35,35.0,5.229,1.57711429171625e-11
lung,False,200,65,32.5,5.437,1.6154163240542201e-19
brain,False,25,7,28.0,3.335,0.012767457712554449
brain,False,50,12,24.0,2.746,0.004860061908723588
brain,False,100,32,32.0,4.483,1.886584924037722e-09
brain,False,200,58,29.0,4.373,1.1335901370556541e-14
left_lung,False,25,4,16.0,1.606,0.2736760227046049
left_lung,False,50,11,22.0,2.438,0.013635572775698011
left_lung,False,100,21,21.0,2.365,0.0013535895444799987
left_lung,False,200,29,14.5,1.489,0.04557516685213545
liver,False,25,8,32.0,4.059,0.0031829308886596923
liver,False,50,12,24.0,2.746,0.004860061908723588
liver,False,100,26,26.0,3.223,6.736835918842156e-06
liver,False,200,40,20.0,2.358,2.473082948495195e-05
stomach,False,25,8,32.0,4.059,0.0031829308886596923
stomach,False,50,14,28.0,3.421,0.0004547779547963809
stomach,False,100,32,32.0,4.483,1.886584924037722e-09
stomach,False,200,57,28.5,4.236,4.9344892507614017e-14
frontal_cortex,False,25,9,36.0,4.879,0.0006697427191216603
frontal_cortex,False,50,16,32.0,4.188,2.888317852930935e-05
frontal_cortex,False,100,31,31.0,4.253,8.405351215214804e-09
frontal_cortex,False,200,54,27.0,3.846,3.3706466705881996e-12
glomerular_visceral_epithelial_cell,True,25,9,36.0,4.879,0.0006697427191216603
glomerular_visceral_epithelial_cell,True,50,16,32.0,4.188,2.888317852930935e-05
glomerular_visceral_epithelial_cell,True,100,35,35.0,5.229,1.57711429171625e-11
glomerular_visceral_epithelial_cell,True,200,69,34.5,6.139,1.412037025826527e-22
hepatocyte,False,25,9,36.0,4.879,0.0006697427191216603
hepatocyte,False,50,18,36.0,5.066,1.2694864429574899e-06
hepatocyte,False,100,40,40.0,6.691,2.0417736573099427e-15
hepatocyte,False,200,61,30.5,4.806,1.1409936715748647e-16
heart_left_ventricle,False,25,7,28.0,3.335,0.012767457712554449
heart_left_ventricle,False,50,15,30.0,3.792,0.00012013781321231652
heart_left_ventricle,False,100,29,29.0,3.818,1.4294052054358378e-07
heart_left_ventricle,False,200,48,24.0,3.146,6.607297762949873e-09
